director,rating,openingweekendgross,movie_title,domestic_total_gross,release_date,runtime,budget,,
Chris Columbus,PG-13,20468847,Mrs. Doubtfire,219195243,11/24/93 0:00,125,25000000,,
,G,9624149,Beauty and the Beast,145863363,11/15/91 0:00,84,25000000,,
Seth MacFarlane,R,54415205,Ted,218815487,6/29/12 0:00,106,50000000,,
Peter Jackson,PG-13,50130145,King Kong,218080025,12/14/05 0:00,187,207000000,,
Jerry Zucker,PG-13,12191540,Ghost,217631306,7/13/90 0:00,128,22000000,,
Dean DeBloisChris Sanders,PG,43732319,How to Train Your Dragon,217581231,3/26/10 0:00,98,165000000,,
Ron Howard,PG-13,77073388,The Da Vinci Code,217536138,5/19/06 0:00,149,125000000,,
,G,19289073,Aladdin,217350219,11/13/92 0:00,90,28000000,,
Tim Hill,PG,44307417,Alvin and the Chipmunks,217326974,12/14/07 0:00,92,60000000,,
Steven Spielberg,R,30576104,Saving Private Ryan,216540909,7/24/98 0:00,170,70000000,,
Eric DarnellTom McGrathConrad Vernon,PG,60316738,Madagascar 3: Europe's Most Wanted,216391482,6/8/12 0:00,93,145000000,,
,PG,60239130,Kung Fu Panda,215434591,6/6/08 0:00,91,130000000,,
John Woo,PG-13,57845297,Mission: Impossible II,215409889,5/24/00 0:00,123,125000000,,
Bryan Singer,PG-13,85558731,X2: X-Men United,214949694,5/2/03 0:00,134,110000000,,
Chris Renaud,PG,70217070,Dr. Seuss' The Lorax,214030500,3/2/12 0:00,95,70000000,,
Jay Roach,PG-13,73071188,Austin Powers in Goldmember,213307889,7/26/02 0:00,94,63000000,,
Zack Snyder,R,70885301,300,210614939,3/9/07 0:00,117,65000000,,
Robert Zemeckis,PG,11152500,Back to the Future,210609762,7/3/85 0:00,111,19000000,,
Justin Lin,PG-13,86198765,Fast Five,209837675,4/29/11 0:00,130,125000000,,
Brad Bird,PG-13,29556629,Mission: Impossible - Ghost Protocol,209397903,12/16/11 0:00,132,145000000,,
David Dobkin,R,33900720,Wedding Crashers,209255921,7/15/05 0:00,113,40000000,,
Guy Ritchie,PG-13,62304277,Sherlock Holmes,209028679,12/25/09 0:00,134,90000000,,
Christopher Nolan,PG-13,48745440,Batman Begins,205343774,6/15/05 0:00,140,150000000,,
Tim Burton,PG,56178450,Charlie and the Chocolate Factory,206459076,7/15/05 0:00,106,150000000,,
Brad Bird,G,47027395,Ratatouille,206445654,6/29/07 0:00,111,150000000,,
Alan Taylor,PG-13,85737841,Thor: The Dark World,206362140,11/8/13 0:00,120,170000000,,
Jay Roach,PG-13,54917604,Austin Powers: The Spy Who Shagged Me,206040086,6/11/99 0:00,95,33000000,,
James Cameron,R,31765506,Terminator 2: Judgment Day,204843345,7/3/91 0:00,137,102000000,,
Marc Webb,PG-13,91608337,The Amazing Spider-Man 2,202853933,5/2/14 0:00,142,,,
Marc Forster,PG-13,66411834,World War Z,202359711,6/21/13 0:00,116,190000000,,
Stephen Sommers,PG-13,68139035,The Mummy Returns,202019785,5/4/01 0:00,130,98000000,,
