director,rating,openingweekendgross,movie_title,domestic_total_gross,release_date,runtime,budget,,
Paul Mazursky,PG-13,3268975,Moon Over Parador,11444204,9/9/88 0:00,104,,,
,R,3044097,The Ref,11439193,3/9/94 0:00,97,,,
Hark Tsui,R,5034914,Double Team,11438337,4/4/97 0:00,109,,,
Lasse Hallstrom,R,1205174,The Shipping News,11434216,12/25/01 0:00,111,38000000,,
,PG,3583114,The Powerpuff Girls Movie,11412414,7/3/02 0:00,85,11000000,,
,PG,3724254,Cops and Robbersons,11391093,4/15/94 0:00,93,,,
,R,3619666,Jennifer 8,11390479,11/6/92 0:00,125,,,
,R,1503543,The Seduction,11378339,1/22/82 0:00,104,,,
Don Bluth,G,2318822,Thumbelina,11373501,4/1/94 0:00,86,,,
,R,,The Legacy,11364985,9/14/79 0:00,102,2500000,,
,PG-13,3512625,Opportunity Knocks,11359129,3/30/90 0:00,93,,,
Simon Wells,G,1519755,Balto,11348324,12/22/95 0:00,74,,,
,PG-13,4024800,Career Opportunities,11336986,3/29/91 0:00,83,,,
Woody Allen,PG,2015360,Manhattan Murder Mystery,11330911,8/18/93 0:00,107,,,
Scott Cooper,R,5220288,Out of the Furnace,11330849,12/4/13 0:00,106,22000000,,
,PG-13,5486209,Antitrust,11328094,1/12/01 0:00,108,,,
Walter Hill,R,3498957,Extreme Prejudice,11307844,4/24/87 0:00,104,,,
Lasse Hallstrom,R,3778824,Casanova,11304403,12/25/05 0:00,112,,,
,PG,4035960,Tank,11302884,3/16/84 0:00,104,,,
Robert Altman,R,2026295,Ready to Wear,11300653,12/25/94 0:00,133,,,
,R,4533392,Who's the Man?,11299730,4/23/93 0:00,90,,,
Florian Henckel von Donnersmarck,R,213589,The Lives of Others,11286112,2/9/07 0:00,137,2000000,,
,R,3360277,One Good Cop,11276846,5/3/91 0:00,105,,,
Catherine Hardwicke,PG-13,5623373,Lords of Dogtown,11273517,6/3/05 0:00,107,25000000,,
,R,4529231,Chill Factor,11263966,9/3/99 0:00,102,70000000,,
Christophe Gans,R,475181,Brotherhood of the Wolf,11260096,1/11/02 0:00,142,29000000,,
,Unrated,278199,Cyberworld 3-D,11253900,10/6/00 0:00,44,,,
Emilio Estevez,R,4857736,Bobby,11242801,11/17/06 0:00,120,,,
Cary Fukunaga,PG-13,182885,Jane Eyre,11242660,3/11/11 0:00,121,,,
,G,1180582,The Smurfs and the Magic Flute,11234220,10/7/83 0:00,89,,,
Stephan Elliot,R,219433,"The Adventures of Priscilla, Queen of the Desert",11220670,8/10/94 0:00,102,,,
,R,2816605,Q & A,11207891,4/27/90 0:00,132,,,
Stephen Sommers,R,4737793,Deep Rising,11203026,1/30/98 0:00,106,,,
Michel Gondry,PG-13,4050655,"Be Kind, Rewind",11175164,2/22/08 0:00,101,,,
Barry Sonnenfeld,PG,4016220,For Love or Money,11146270,10/1/93 0:00,96,30000000,,
,PG,2844895,Return to Oz,11137801,6/21/85 0:00,110,,,
John Herzfeld,R,3352440,2 Days in the Valley,11132210,9/27/96 0:00,105,,,
,PG-13,782347,Falling in Love,11129057,11/21/84 0:00,106,,,
,R,3603338,V.I. Warshawski,11128309,7/26/91 0:00,89,,,
,R,3177158,Whispers in the Dark,11124511,8/7/92 0:00,101,,,
,PG,3410001,Hard to Hold,11113806,4/6/84 0:00,93,,,
John Carpenter,PG-13,2723211,Big Trouble in Little China,11100000,7/4/86 0:00,99,,,
,PG,151351,Ragtime,11099118,11/20/81 0:00,155,,,
Neil Jordan,R,2409761,Michael Collins,11092559,10/11/96 0:00,133,25000000,,
,R,3815555,Mad Dog and Glory,11081586,3/5/93 0:00,97,,,
Gregory Nava,R,2164840,My Family,11079373,5/5/95 0:00,126,,,
,R,2622637,Wild Orchid,11060485,4/27/90 0:00,112,,,
,PG-13,4712341,In the Land of Women,11052958,4/20/07 0:00,100,,,
,R,2905293,Krush Groove,11052713,10/25/85 0:00,94,,,
Zhang Yimou,PG-13,1737497,House of Flying Daggers,11050094,12/3/04 0:00,119,,,
Stephen Frears,R,55344,Mrs. Henderson Presents,11036366,12/9/05 0:00,103,,,
,R,4001400,The Wild Life,11020375,9/28/84 0:00,96,,,
Neil Marshall,R,4926565,Doomsday,11008770,3/14/08 0:00,105,,,
,R,3351891,The Couch Trip,11005304,1/15/88 0:00,97,,,
,PG,4454319,The Astronaut Farmer,11003643,2/23/07 0:00,104,13000000,,
Jean-Marc Vallee,PG,260591,The Young Victoria,11001272,12/18/09 0:00,104,35000000,,
,R,3656390,The Super,11000863,10/4/91 0:00,95,22000000,,
,G,,The Last Flight of Noah's Ark,11000000,7/27/80 0:00,98,,,
,PG,,The Mirror Crack'd,11000000,12/19/80 0:00,105,,,
,PG,,"Give 'Em Hell, Harry!",11000000,9/18/75 0:00,104,230000,,
,M,,Hang 'em High,11000000,8/3/68 0:00,114,,,
,Unrated,,Adrenaline Rush: The Science of Risk,10994028,10/18/02 0:00,40,,,
,PG-13,3862719,Who's Harry Crumb?,10982364,2/3/89 0:00,89,,,
,PG-13,5041239,Dragon Wars,10977721,9/14/07 0:00,90,32000000,,
,R,1347032,The Man Who Loved Women,10964231,12/16/83 0:00,110,,,
,R,,Moment by Moment,10963824,12/22/78 0:00,105,,,
,PG-13,2148055,Nuns on the Run,10959015,3/16/90 0:00,89,,,
,Unrated,7655,What the #$*! Do We Know?!,10942306,2/6/04 0:00,111,,,
,PG,3252450,Leave It to Beaver,10925060,8/22/97 0:00,88,15000000,,
Robert Altman,PG-13,186828,Cookie's Fortune,10920544,4/2/99 0:00,118,10000000,,
Kimberly Peirce,R,4555117,Stop-Loss,10915744,3/28/08 0:00,113,25000000,,
,PG,2811355,The Englishman Who Went Up a Hill But Came Down a Mountain,10904930,5/12/95 0:00,96,,,
Niels Arden Oplev,R,5345250,Dead Man Down,10895295,3/8/13 0:00,110,,,
,Unrated,,The Pink Panther,10878107,4/11/64 0:00,113,,,
Peter Hyams,R,3628060,Narrow Margin,10873237,9/21/90 0:00,99,,,
,PG,,Victory,10853418,7/31/81 0:00,117,,,
Alan J. Pakula,R,2260689,Rollover,10851261,12/11/81 0:00,116,,,
Neil Jordan,R,1656668,The End of the Affair,10827816,12/3/99 0:00,102,23000000,,
Mike Judge,R,4231727,Office Space,10827810,2/19/99 0:00,89,10000000,,
Mike Judge,R,4340108,Extract,10823158,9/4/09 0:00,90,8000000,,
,R,4022782,Moving,10815378,3/4/88 0:00,89,,,
,PG-13,2360484,Gotcha!,10806919,5/3/85 0:00,101,,,
Mel Brooks,PG-13,2708298,Dracula: Dead and Loving It,10772144,12/22/95 0:00,90,,,
-1,PG,913617,Gettysburg,10769960,10/8/93 0:00,254,,,
Woody Allen* (Oedipus Wrecks),PG,432337,New York Stories,10763469,3/3/89 0:00,124,,,
,R,3868515,Missing in Action II: The Beginning,10755447,3/1/85 0:00,95,,,
Peter Hyams,PG,3532540,Stay Tuned,10736401,8/14/92 0:00,89,,,
,PG-13,5064077,Abandon,10727683,10/18/02 0:00,99,25000000,,
,PG,106578,Belle,10726630,5/2/14 0:00,105,,,
James Foley,R,2104402,Glengarry Glen Ross,10725228,10/2/92 0:00,100,,,
Patrick Lussier,R,5187625,Drive Angry,10721033,2/25/11 0:00,104,,,
,PG,2399109,The Fiendish Plot of Dr. Fu Manchu,10697276,8/8/80 0:00,108,,,
,PG-13,4304829,Robocop 3,10696210,11/5/93 0:00,105,22000000,,
Woody Allen,R,356476,Deconstructing Harry,10686841,12/12/97 0:00,93,20000000,,
Terry Gilliam,R,3338590,Fear and Loathing in Las Vegas,10680275,5/22/98 0:00,118,18500000,,
,PG,3473635,Hercules,10676194,8/26/83 0:00,98,,,
,R,4027003,The Astronaut's Wife,10672566,8/27/99 0:00,110,75000000,,
,R,4605167,Universal Soldier: The Return,10667893,8/20/99 0:00,83,45000000,,
,Unrated,,Island of the Sharks,10658505,4/23/99 0:00,41,,,
,R,4656986,Two If by Sea,10658278,1/12/96 0:00,96,,,
Andrew Davis,R,1851673,The Package,10647219,8/25/89 0:00,108,,,
Woody Allen,PG,114095,The Purple Rose of Cairo,10631333,3/1/85 0:00,82,,,
,PG-13,3469488,Moving Violations,10627754,4/19/85 0:00,90,,,
,R,3037911,Wolfen,10626725,7/24/81 0:00,114,,,
,R,3250883,The Dark Half,10611160,4/23/93 0:00,121,,,
Martin Scorsese,R,45435,After Hours,10609321,9/13/85 0:00,96,,,
,R,617661,The House on Sorority Row,10604986,1/21/83 0:00,92,,,
Woody Allen,PG,2083455,Broadway Danny Rose,10600497,1/27/84 0:00,84,,,
Clint Eastwood,R,,Play Misty for Me,10600000,11/12/71 0:00,105,,,
,R,2761790,Beautiful Girls,10597759,2/9/96 0:00,110,,,
,R,6048315,Primeval,10597734,1/12/07 0:00,94,,,
Bill Duke,PG-13,5314278,Not Easily Broken,10572742,1/9/09 0:00,99,5000000,,
,PG-13,3986269,Drop Dead Gorgeous,10571408,7/23/99 0:00,98,15000000,,
,PG-13,4406135,Three to Tango,10570375,10/22/99 0:00,98,20000000,,
Woody Allen,R,3520550,Husbands and Wives,10555619,9/18/92 0:00,103,,,
Neil Jordan,PG-13,2047630,We're No Angels,10555348,12/15/89 0:00,101,20000000,,
Jimmy Hayward,PG-13,5379365,Jonah Hex,10547117,6/18/10 0:00,81,47000000,,
,PG-13,4649742,Mad City,10541523,11/7/97 0:00,115,50000000,,
,R,3665088,Where the Boys Are,10530000,4/6/84 0:00,95,,,
Woody Allen,PG-13,3046924,Scoop,10525717,7/28/06 0:00,96,,,
,PG-13,4510705,Here on Earth,10522168,3/24/00 0:00,96,15000000,,
David Ayer,R,5272444,Sabotage,10508518,3/28/14 0:00,109,,,
Courtney Solomon,PG-13,4503892,Getaway,10501938,8/30/13 0:00,94,18000000,,
,R,3234837,American Ninja,10499694,8/30/85 0:00,95,,,
,PG,3530016,Iron Eagle II,10497324,11/11/88 0:00,102,,,
,R,3693117,Silent Rage,10490791,4/2/82 0:00,91,,,
Paul Schrader,PG-13,3536309,Light of Day,10489617,2/6/87 0:00,87,,,
,PG,2755661,Camp Nowhere,10475705,8/26/94 0:00,96,,,
Joe Carnahan,R,2825807,Narc,10465659,12/20/02 0:00,102,6500000,,
Dean Parisot,PG-13,3784023,Home Fries,10459961,11/27/98 0:00,93,35000000,,
Richard Linklater,PG-13,4010245,The Newton Boys,10452012,3/27/98 0:00,113,,,
Bill Duke,R,2458080,A Rage in Harlem,10438504,5/3/91 0:00,108,,,
,R,3091670,Thief of Hearts,10435015,10/19/84 0:00,99,,,
Woody Allen,PG,,Interiors,10432366,8/2/78 0:00,93,10000000,,
Andrew ErwinJon Erwin,PG,4311083,Moms' Night Out,10429707,5/9/14 0:00,98,5000000,,
,R,167815,The Brothers McMullen,10426506,8/11/95 0:00,98,238000,,
James L. Brooks,PG-13,4702625,I'll Do Anything,10424645,2/4/94 0:00,116,40000000,,
Mark S. Waters,PG-13,4804595,Head Over Heels,10424470,2/2/01 0:00,87,14000000,,
,PG,,Savannah Smiles,10413170,12/10/82 0:00,105,,,
Sean McNamara,PG,4022693,Raise Your Voice,10411980,10/8/04 0:00,107,15000000,,
,G,412337,Roving Mars,10407978,1/27/06 0:00,40,,,
,PG-13,4731751,Operation Condor,10405394,7/18/97 0:00,90,,,
Brian Robbins,PG-13,4873819,The Perfect Score,10391003,1/30/04 0:00,103,,,
Woody Allen,PG,326779,Stardust Memories,10389003,9/26/80 0:00,91,10000000,,
,R,4119086,The Scarlet Letter,10382407,10/13/95 0:00,135,46000000,,
,R,3295722,Doctor Detroit,10375893,5/6/83 0:00,91,,,
William Friedkin,PG,3520605,Deal of the Century,10369581,11/4/83 0:00,99,,,
,G,1026121,U2 3D,10363341,1/23/08 0:00,80,,,
,PG,2221402,The Witches,10360553,8/24/90 0:00,91,,,
,R,3498931,The Man with Two Brains,10353438,6/3/83 0:00,90,,,
,PG,2707980,Disorderlies,10348437,8/14/87 0:00,86,,,
Tom Ropelewski,PG-13,4022570,Look Who's Talking Now,10340263,11/5/93 0:00,95,,,
Christian Alvart,R,4424126,Pandorum,10330853,9/25/09 0:00,108,33000000,,
Rod Lurie,R,5123760,Straw Dogs,10324441,9/16/11 0:00,105,25000000,,
,R,5516231,Knock Off,10319915,9/4/98 0:00,91,,,
,R,3310349,I Got the Hook-Up!,10317779,5/29/98 0:00,93,,,
,PG-13,179848,La Vie en Rose,10301706,6/8/07 0:00,136,25000000,,
,PG,2573297,Better Off Dead,10297601,8/23/85 0:00,97,,,
Ridley Scott,PG-13,3908514,White Squall,10292300,2/2/96 0:00,129,,,
,R,229685,Shopgirl,10284523,10/21/05 0:00,104,,,
Peter Weir,PG,1716040,The Year of Living Dangerously,10278575,1/21/83 0:00,115,,,
Ridley Scott,R,2908796,Someone to Watch Over Me,10278549,10/9/87 0:00,107,,,
Dominic Sena,R,4915104,Whiteout,10275638,9/11/09 0:00,106,35000000,,
,R,546687,The Boondock Saints II: All Saints Day,10273188,10/30/09 0:00,118,8000000,,
,G,21892,Santa Vs. the Snowman,1934053,11/1/02 0:00,37,,,
Bill Condon,R,169038,Kinsey,10254979,11/12/04 0:00,124,11000000,,
Uwe Boll,R,5683280,House of the Dead,10249719,10/10/03 0:00,92,12000000,,
Marcus Nispel,R,5001214,Pathfinder: Legend of the Ghost Warrior,10232081,4/13/07 0:00,88,45000000,,
,G,2603726,Air Bud: Golden Receiver,10224116,8/14/98 0:00,90,,,
Ron Underwood,PG-13,4448491,In the Mix,10223896,11/23/05 0:00,97,,,
,PG,1196965,Brainstorm,10219460,9/30/83 0:00,106,,,
,R,4127903,Sorority Boys,10200032,3/22/02 0:00,93,12000000,,
,R,103507,The Intouchables,10198820,5/25/12 0:00,112,,,
,Unrated,2521746,You So Crazy,10184701,4/29/94 0:00,85,,,
Tom McCarthy,R,150362,Win Win,10179275,3/18/11 0:00,106,,,
Albert Brooks,R,154877,Lost in America,10179000,3/15/85 0:00,91,,,
Alex Kendrick,PG,1343537,Facing the Giants,10178331,9/29/06 0:00,111,100000,,
,PG,3093281,Lovesick,10171304,2/18/83 0:00,96,,,
Tony Scott,R,4670120,Domino,10169202,10/14/05 0:00,120,,,
John Dahl,R,3376009,The Great Raid,10167373,8/12/05 0:00,132,80000000,,
,R,3179811,Cyborg,10166459,4/7/89 0:00,86,,,
Steve Gomer,R,4705440,Sunset Park,10163782,4/26/96 0:00,99,,,
Kenneth Branagh,PG-13,64933,Henry V,10161099,11/8/89 0:00,137,9000000,,
,PG-13,4717902,Bats,10155690,10/22/99 0:00,91,52500000,,
Darren Aronofsky,PG-13,3768702,The Fountain,10144010,11/22/06 0:00,96,35000000,,
,PG,4108630,Hoodwinked Too! Hood vs. Evil,10143779,4/29/11 0:00,85,30000000,,
Joe Nussbaum,PG,4712638,Prom,10130219,4/29/11 0:00,103,8000000,,
,R,287296,Swimming Pool,10130108,7/2/03 0:00,102,,,
Richard Pearce,PG-13,3020662,A Family Thing,10125417,3/29/96 0:00,109,,,
,PG-13,3871616,Brokedown Palace,10115013,8/13/99 0:00,100,25000000,,
Neil LaBute,PG-13,1932347,Possession,10113733,8/16/02 0:00,103,,,
,PG,3504671,Buddy,10113400,6/6/97 0:00,84,,,
,R,2875067,The Wash,10097538,11/16/01 0:00,96,7000000,,
Niels Arden Oplev,R,335502,The Girl with the Dragon Tattoo,10095170,3/19/10 0:00,152,13000000,,
,PG-13,3150924,Under the Cherry Moon,10090429,7/4/86 0:00,100,,,
Richard Benjamin,PG-13,3872900,Mrs. Winterbourne,10082005,4/19/96 0:00,106,,,
,R,3017800,Shakedown,10068039,5/6/88 0:00,97,,,
,R,4006019,Boiling Point,10058318,4/16/93 0:00,93,,,
Hayao Miyazaki,PG,1765491,Spirited Away,10055859,9/20/02 0:00,124,,,
,R,3086525,National Lampoon's Class Reunion,10054150,10/29/82 0:00,84,,,
Jeff Wadlow,PG-13,4428209,Cry Wolf,10047674,9/16/05 0:00,90,1000000,,
Nora Ephron,R,4536625,Lucky Numbers,10042516,10/27/00 0:00,105,63000000,,
,PG,4407720,Godzilla 2000,10037390,8/18/00 0:00,99,13000000,,
Lasse Hallstrom,PG-13,2104938,What's Eating Gilbert Grape,10032765,12/17/93 0:00,118,,,
,R,4111043,Next Day Air,10027047,5/8/09 0:00,84,,,
Bob Saget,PG-13,3634236,Dirty Work,10023282,6/12/98 0:00,82,,,
,PG-13,25497,Hope and Glory,10021120,10/16/87 0:00,113,,,
Renny Harlin,PG-13,2371415,Cutthroat Island,10017322,12/22/95 0:00,123,98000000,,
Alfonso Cuaron,G,2038782,A Little Princess,10015449,5/12/95 0:00,100,,,
,PG,3802144,Penelope,10011996,2/29/08 0:00,89,,,
Sean McNamara,PG,4208455,BRATZ,10010209,8/3/07 0:00,110,,,
Philip Kaufman,R,202189,The Unbearable Lightness of Being,10006806,2/5/88 0:00,172,,,
,R,3729149,The Two Jakes,10005969,8/10/90 0:00,137,,,
,R,4009866,Terror in the Aisles,10004817,10/26/84 0:00,84,,,
,R,,The Hollywood Knights,10000000,5/16/80 0:00,92,,,
,PG-13,4025657,Once Bitten,10000000,11/15/85 0:00,93,,,
Robert Altman,R,,Nashville,9984123,6/11/75 0:00,159,,,
,PG,3201843,Lassie,9979683,7/22/94 0:00,94,,,
Martin Campbell,R,2636091,Criminal Law,9974446,4/28/89 0:00,117,,,
,PG,3018345,Dudley Do-Right,9974410,8/27/99 0:00,83,70000000,,
,R,3388907,Murphy's Law,9947631,4/18/86 0:00,100,,,
Terry Gilliam,R,30099,Brazil,9929135,12/18/85 0:00,142,,,
,R,120108,Immortal Beloved,9914409,12/16/94 0:00,121,,,
Ulu Grosbard,R,,Straight Time,9900000,3/17/78 0:00,114,,,
Peter Berg,R,3245853,Very Bad Things,9898412,11/27/98 0:00,100,30000000,,
,R,,The Onion Field,9890597,9/19/79 0:00,126,,,
Sidney Lumet,R,2933255,Night Falls on Manhattan,9889670,5/16/97 0:00,113,,,
,R,3002997,Miami Blues,9888167,4/20/90 0:00,96,,,
,PG,3607340,Explorers,9873044,7/12/85 0:00,106,,,
Ken Kwapis,PG,2996891,Dunston Checks In,9871065,1/12/96 0:00,88,,,
,R,,Serial,9870727,3/28/80 0:00,90,,,
,PG,1162491,Maid to Order,9868521,7/31/87 0:00,92,,,
William Friedkin,R,4284246,Jade,9851610,10/13/95 0:00,94,,,
,Unrated,895699,La Grande Seduction,9354342,7/11/03 0:00,108,,,
,R,3684704,3 Strikes,9832166,3/3/00 0:00,82,3400000,,
Sidney Poitier,PG,3597244,Hanky Panky,9823934,6/4/82 0:00,107,,,
Ken Kwapis,PG-13,2857164,"He Said, She Said",9804775,2/22/91 0:00,115,,,
Andrew Fleming,R,4008870,Bad Dreams,9797098,4/8/88 0:00,80,,,
Gary Fleder,PG,4562675,The Express,9793406,10/10/08 0:00,129,40000000,,
,G,2445155,The Swan Princess,9771658,11/18/94 0:00,89,,,
Woody Allen,R,131678,Everyone Says I Love You,9759200,12/6/96 0:00,97,,,
,R,2492618,The Hidden,9747988,10/30/87 0:00,98,,,
,PG-13,3617317,Amos & Andrew,9745803,3/5/93 0:00,96,,,
Gavin Hood,R,4060012,Rendition,9736045,10/19/07 0:00,120,,,
,PG,2862025,Cloak and Dagger,9719952,8/10/84 0:00,102,,,
,PG,1203011,Somewhere in Time,9709597,10/3/80 0:00,103,,,
,R,4517066,Flesh and Bone,9709451,11/5/93 0:00,126,,,
,PG,490318,The Journey of Natty Gann,9708373,9/27/85 0:00,101,,,
Derek Cianfrance,R,193728,Blue Valentine,9706328,12/29/10 0:00,112,1000000,,
,PG,2918072,Space Camp,9697739,6/6/86 0:00,104,,,
Danny DeVito,PG-13,4617128,Duplex,9692135,9/26/03 0:00,97,40000000,,
,PG-13,2442229,The Butcher's Wife,9689816,10/25/91 0:00,104,,,
Andrew Niccol,PG-13,3813463,Simone,9688676,8/23/02 0:00,117,,,
,PG,3418908,The Baby-Sitters Club,9685976,8/18/95 0:00,94,,,
Douglas McGrath,PG-13,4402201,I Don't Know How She Does It,9662284,9/16/11 0:00,95,24000000,,
,PG,24443,Country,9640000,9/28/84 0:00,110,,,
,R,3454776,Belly,9639390,11/6/98 0:00,95,,,
,PG,1609448,Without a Trace,9632062,2/4/83 0:00,120,,,
,PG,4233304,Digimon: The Movie,9631153,10/6/00 0:00,82,5000000,,
,PG-13,3504630,Wrongfully Accused,9623329,8/21/98 0:00,86,,,
Alan J. Pakula,PG,,Comes a Horseman,9585769,10/25/78 0:00,118,,,
David Mamet,PG,124011,The Spanish Prisoner,9584314,4/3/98 0:00,110,,,
,PG,,Carbon Copy,9566593,9/25/81 0:00,91,,,
,R,3825068,Scenes From a Mall,9563393,2/22/91 0:00,87,3000000,,
Doug Liman,PG-13,651082,Fair Game,9540691,11/5/10 0:00,108,22000000,,
,R,2088492,She's the One,9538948,8/23/96 0:00,96,,,
James Wan,R,4231321,Death Sentence,9534258,8/31/07 0:00,110,,,
,PG,3601015,Matinee,9532895,1/29/93 0:00,99,,,
,PG,2645437,From the Hip,9518342,2/6/87 0:00,111,,,
Noam Murro,R,4092465,Smart People,9511289,4/11/08 0:00,93,,,
Francois Girard,R,47415,The Red Violin,9495408,11/6/98 0:00,130,18000000,,
,PG-13,3263026,Chaplin,9493259,12/25/92 0:00,135,,,
Walter Hill,R,4548201,Bullet to the Head,9489829,2/1/13 0:00,91,,,
Irwin Winkler,PG-13,2278290,Guilty by Suspicion,9480198,3/15/91 0:00,105,,,
Sam Mendes,R,130411,Away We Go,9451946,6/5/09 0:00,98,17000000,,
Stanley Kubrick,GP,,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,9164370,1/29/64 0:00,93,1800000,,
,R,61901,Once,9439923,5/16/07 0:00,85,150000,,
Joe Nussbaum,PG,4171226,Sleepover,9436390,7/9/04 0:00,90,,,
Tom McCarthy,PG-13,86488,The Visitor,9427089,4/11/08 0:00,103,,,
John Carpenter,R,3222450,Village of the Damned,9418365,4/28/95 0:00,99,,,
Josh Schwartz,PG-13,4101017,Fun Size,9409538,10/26/12 0:00,90,14000000,,
Martha Coolidge,R,2779640,Angie,9398308,3/4/94 0:00,108,,,
Craig Brewer,R,4143199,Black Snake Moan,9396870,3/2/07 0:00,116,15000000,,
,PG-13,3759480,Fierce Creatures,9381260,1/24/97 0:00,94,,,
,R,1828406,Tuff Turf,9369329,1/11/85 0:00,111,,,
James Wong,PG,4756488,Dragonball Evolution,9362785,4/10/09 0:00,100,,,
,PG,160292,The Frisco Kid,9346177,7/13/79 0:00,121,,,
,R,4505036,Hellraiser 4: Bloodline,9336886,3/8/96 0:00,85,,,
Simon Wells,G,3707770,We're Back! A Dinosaur's Story,9317021,11/24/93 0:00,71,,,
Sydney Pollack,PG,,Bobby Deerfield,9300000,9/29/77 0:00,124,,,
Pedro Almodovar,R,104396,Talk to Her,9285469,11/22/02 0:00,116,,,
Martha Coolidge,PG,3002150,Lost in Yonkers,9285189,5/14/93 0:00,114,,,
,R,3344022,Ringmaster,9257103,11/27/98 0:00,90,20000000,,
Tom DeCerchio,PG-13,3809248,Celtic Pride,9255027,4/19/96 0:00,90,,,
,R,3880688,Dark Blue,9250301,2/21/03 0:00,113,15000000,,
Sydney Pollack,R,2175360,Havana,9243140,12/14/90 0:00,145,40000000,,
John Madden,PG,76268,Mrs. Brown,9229808,7/18/97 0:00,103,,,
Ethan CoenJoel Coen,R,251337,A Serious Man,9228768,10/2/09 0:00,105,,,
,R,3305189,Gladiator,9223441,3/6/92 0:00,101,,,
,PG,3251856,Super Babies: Baby Geniuses 2,9219388,8/27/04 0:00,88,,,
,R,1870000,Shoot the Moon,9217530,1/22/82 0:00,124,,,
Kirk Jones,PG-13,3852068,Everybody's Fine,9208876,12/4/09 0:00,95,21000000,,
Richard Linklater,PG-13,85805,Bernie,9206470,4/27/12 0:00,104,,,
,R,3647254,Return of the Living Dead 2,9205924,1/15/88 0:00,89,,,
,R,2171197,Bad Boys,9190819,3/25/83 0:00,103,,,
,R,3032258,Body Parts,9188150,8/2/91 0:00,88,,,
,Unrated,,The Four Horsemen of the Apocalypse,9183673,3/6/21 0:00,134,800000,,
Kenneth Lonergan,R,118170,You Can Count on Me,9183362,11/10/00 0:00,111,,,
Tina Gordon Chism,PG-13,4611534,Tyler Perry Presents Peeples,9177065,5/10/13 0:00,95,15000000,,
,PG-13,88182,Get Low,9176933,7/30/10 0:00,100,7000000,,
Michael Winterbottom,R,3948863,A Mighty Heart,9176787,6/22/07 0:00,108,16000000,,
Tom Ford,R,217332,A Single Man,9176000,12/11/09 0:00,99,7000000,,
,R,520000,Pennies From Heaven,9171289,12/11/81 0:00,107,,,
,R,89563,Ulee's Gold,9161691,6/13/97 0:00,113,,,
,R,2811154,Stone Cold,9151887,5/17/91 0:00,92,,,
,PG,3121752,Switching Channels,9129999,3/4/88 0:00,105,,,
,PG-13,2217150,Tap,9114702,2/10/89 0:00,111,,,
,R,780360,Warlock,9094451,1/11/91 0:00,103,,,
,PG-13,2161284,Sweet Dreams,9085049,10/4/85 0:00,115,,,
James Ivory,PG-13,1595239,Le Divorce,9081057,8/8/03 0:00,117,,,
Woody Allen,PG,2514478,A Midsummer Night's Sex Comedy,9077269,7/16/82 0:00,88,,,
Blake Edwards,PG,1341695,Trail of the Pink Panther,9056073,12/17/82 0:00,97,,,
Forest Whitaker,PG,4002067,First Daughter,9055921,9/24/04 0:00,105,,,
Lasse Hallstrom,PG-13,225894,Salmon Fishing in the Yemen,9047981,3/9/12 0:00,112,,,
,PG-13,1031036,The Boy in the Striped Pajamas,9046156,11/7/08 0:00,93,,,
,PG,,Conquest of the Planet of the Apes,9043472,6/14/72 0:00,88,,,
,R,2670522,Target,9023199,11/8/85 0:00,117,,,
,R,2527909,Trippin',9017070,5/14/99 0:00,94,,,
Harold Ramis,R,3740799,The Ice Harvest,9016782,11/23/05 0:00,88,,,
,R,1452303,Transamerica,9015303,12/2/05 0:00,103,,,
,R,3075030,Renegades,9015164,6/2/89 0:00,106,,,
Roger Donaldson,R,3151629,White Sands,9011574,4/24/92 0:00,101,,,
,PG,,Tribute,9000000,12/14/80 0:00,121,,,
,R,,Saturn 3,9000000,2/15/80 0:00,88,,,
Wes Craven,R,3804429,Deadly Friend,8988731,10/10/86 0:00,91,,,
James CameronSteven Quale,G,479368,Aliens of the Deep,8968684,1/28/05 0:00,47,,,
,Unrated,,Alien Adventure,8959784,8/20/99 0:00,35,,,
,PG-13,3326870,Teaching Mrs. Tingle,8951935,8/20/99 0:00,95,13000000,,
,PG-13,345136,Saved!,8940582,5/28/04 0:00,93,5000000,,
John Carpenter,R,3441807,In the Mouth of Madness,8924549,2/3/95 0:00,95,8000000,,
,R,4579240,Bolero,8914881,8/31/84 0:00,105,,,
,PG,2620484,The Next Karate Kid,8914777,8/12/94 0:00,104,,,
,PG,3607545,Late for Dinner,8906823,9/20/91 0:00,93,,,
,R,842985,The Formula,8894289,12/19/80 0:00,117,,,
,PG,2627533,Salsa - The Motion Picture,8892589,5/6/88 0:00,99,,,
Jay Roach,R,3102191,"Mystery, Alaska",8891623,10/1/99 0:00,119,28000000,,
Benson Lee,PG-13,4603177,Battle of the Year,8888355,9/20/13 0:00,109,20000000,,
,R,2358988,The Inkwell,8880705,4/22/94 0:00,112,,,
,PG,2692624,White Fang II: Myth of the White Wolf,8878839,4/15/94 0:00,106,,,
Bryan Singer,R,3583151,Apt Pupil,8863193,10/23/98 0:00,112,,,
,R,3708918,Nightbreed,8862354,2/16/90 0:00,102,,,
,G,,Battle for the Planet of the Apes,8844595,5/23/73 0:00,93,,,
Brett Ratner,R,4805878,Movie 43,8840453,1/25/13 0:00,97,6000000,,
,R,141852,The Deep End,8823109,8/10/01 0:00,101,3000000,,
